timestamp,x,z,vtheta,grad,g,u
1245,4.98,4.98,0.0,0.0,-2.0,-2.0
2246,4.96,4.96,0.0,0.0,-1.988,-1.988
3246,4.94,4.94,0.0,0.0,-1.976,-1.976
4247,4.92,4.92,0.0,0.0,-1.965,-1.965
5248,4.899,4.9,0.0,0.0,-1.946,-1.946
6248,4.878,4.88,0.0,-1.0,-1.934,-1.934
7249,4.857,4.86,0.0,-1.0,-1.923,-1.923
8249,4.838,4.84,0.0,-1.0,-1.918,-1.918
9250,4.818,4.82,0.0,-1.0,-1.906,-1.906
10250,4.8,4.801,0.0,-1.0,-1.894,-1.894
11251,4.779,4.782,0.0,-1.0,-1.876,-1.876
12252,4.759,4.763,0.0,-1.0,-1.864,-1.864
13252,4.742,4.744,0.0,-1.0,-1.852,-1.852
14253,4.722,4.725,0.0,-1.0,-1.84,-1.84
15253,4.706,4.706,0.0,-1.0,-1.835,-1.835
16254,4.685,4.687,0.0,0.0,-1.816,-1.816
17254,4.668,4.668,0.0,-1.0,-1.804,-1.804
18255,4.648,4.65,0.0,0.0,-1.799,-1.799
19256,4.632,4.632,0.0,-1.0,-1.78,-1.78
20256,4.614,4.614,0.0,0.0,-1.775,-1.775
21257,4.598,4.596,0.0,0.0,-1.763,-1.763
22257,4.579,4.578,0.0,1.0,-1.751,-1.751
23258,4.562,4.56,0.0,1.0,-1.739,-1.739
24258,4.545,4.542,0.0,1.0,-1.727,-1.727
25274,4.527,4.524,0.0,1.0,-1.708,-1.708
26275,4.507,4.506,0.0,1.0,-1.702,-1.702
27275,4.491,4.489,0.0,1.0,-1.683,-1.683
28276,4.472,4.472,0.0,1.0,-1.678,-1.678
29276,4.457,4.455,0.0,0.0,-1.658,-1.658
30277,4.44,4.438,0.0,1.0,-1.653,-1.653
31278,4.423,4.421,0.0,1.0,-1.641,-1.641
32278,4.407,4.404,0.0,1.0,-1.636,-1.636
33279,4.392,4.387,0.0,1.0,-1.623,-1.623
34279,4.376,4.37,0.0,1.0,-1.611,-1.611
35280,4.359,4.354,0.0,1.0,-1.599,-1.599
36280,4.342,4.338,0.0,1.0,-1.586,-1.586
37281,4.327,4.322,0.0,1.0,-1.574,-1.574
38281,4.313,4.306,0.0,1.0,-1.554,-1.554
39282,4.299,4.29,0.0,1.0,-1.549,-1.549
40283,4.282,4.274,0.0,1.0,-1.529,-1.529
41283,4.267,4.258,0.0,1.0,-1.524,-1.524
42284,4.253,4.242,0.0,1.0,-1.511,-1.511
43284,4.237,4.227,0.005,1.0,-1.498,-1.498
44285,4.223,4.212,0.005,1.0,-1.478,-1.483
45285,4.21,4.197,0.01,1.0,-1.473,-1.478
46286,4.193,4.182,0.015,1.0,-1.46,-1.47
47287,4.18,4.167,0.02,1.0,-1.448,-1.463
48287,4.167,4.152,0.025,1.0,-1.427,-1.447
49288,4.154,4.137,0.03,1.0,-1.422,-1.447
50288,4.139,4.122,0.035,1.0,-1.409,-1.439
51289,4.126,4.108,0.04,1.0,-1.388,-1.423
52290,4.111,4.094,0.045,1.0,-1.383,-1.423
53290,4.098,4.08,0.05,1.0,-1.37,-1.415
54291,4.085,4.066,0.055,1.0,-1.356,-1.406
55291,4.072,4.052,0.06,1.0,-1.343,-1.398
56292,4.056,4.038,0.065,1.0,-1.322,-1.382
57292,4.04,4.024,0.07,1.0,-1.309,-1.374
58293,4.026,4.01,0.075,1.0,-1.303,-1.373
59293,4.011,3.997,0.08,1.0,-1.29,-1.365
60294,3.997,3.984,0.085,1.0,-1.277,-1.357
61294,3.981,3.971,0.09,1.0,-1.255,-1.34
62295,3.968,3.958,0.09,1.0,-1.25,-1.34
63731,3.954,3.945,0.09,1.0,-1.228,-1.318
64732,3.943,3.932,0.09,1.0,-1.214,-1.304
65732,3.928,3.919,0.095,1.0,-1.2,-1.29
66733,3.917,3.907,0.095,1.0,-1.186,-1.281
67733,3.903,3.895,0.095,1.0,-1.181,-1.276
68734,3.892,3.883,0.095,1.0,-1.167,-1.262
69734,3.879,3.871,0.095,1.0,-1.154,-1.249
71417,3.867,3.859,0.095,1.0,-1.122,-1.217
72418,3.853,3.847,0.095,1.0,-1.117,-1.212
73419,3.84,3.835,0.095,1.0,-1.102,-1.197
74419,3.828,3.824,0.095,1.0,-1.088,-1.183
75420,3.818,3.813,0.095,1.0,-1.073,-1.168
76420,3.807,3.802,0.095,1.0,-1.059,-1.154
77421,3.795,3.791,0.095,1.0,-1.044,-1.139
78421,3.781,3.78,0.095,1.0,-1.03,-1.125
79422,3.771,3.769,0.095,1.0,-1.015,-1.11
80422,3.76,3.758,0.095,1.0,-1.0,-1.095
81423,3.747,3.748,0.095,1.0,-0.985,-1.08
82424,3.737,3.738,0.095,-1.0,-0.971,-0.876
83424,3.73,3.728,0.095,-1.0,-0.956,-0.861
84425,3.72,3.718,0.095,1.0,-0.94,-1.035
85425,3.712,3.708,0.095,1.0,-0.925,-1.02
86426,3.703,3.698,0.095,1.0,-0.909,-1.004
87426,3.694,3.689,0.095,1.0,-0.893,-0.988
88427,3.683,3.68,0.095,1.0,-0.878,-0.973
89427,3.673,3.671,0.095,1.0,-0.862,-0.957
90428,3.665,3.662,0.095,1.0,-0.846,-0.941
91429,3.653,3.653,0.095,1.0,-0.83,-0.925
92429,3.644,3.644,0.095,0.0,-0.814,-0.814
93430,3.634,3.636,0.095,0.0,-0.797,-0.797
94430,3.625,3.628,0.095,-1.0,-0.781,-0.686
95431,3.618,3.62,0.095,-1.0,-0.764,-0.669
96431,3.611,3.612,0.095,-1.0,-0.746,-0.651
