timestamp,x,z,vtheta,grad,g,u
123,4.987,5.987,0.005,-1.0,-1.299,-1.299
1124,4.966,5.967,0.01,-1.0,-1.992,-1.987
2124,4.945,5.947,0.015,-1.0,-1.981,-1.971
3125,4.924,5.927,0.02,-1.0,-1.969,-1.954
4125,4.906,5.907,0.025,-1.0,-1.964,-1.944
5126,4.885,5.887,0.03,-1.0,-1.952,-1.927
6393,4.864,5.867,0.035,-1.0,-1.934,-1.904
7393,4.845,5.847,0.04,-1.0,-1.922,-1.887
8394,4.826,5.827,0.045,-1.0,-1.911,-1.871
9395,4.808,5.808,0.05,-1.0,-1.899,-1.854
10395,4.789,5.789,0.055,-1.0,-1.887,-1.837
11396,4.772,5.77,0.06,-1.0,-1.875,-1.82
12396,4.755,5.751,0.065,-1.0,-1.864,-1.804
13397,4.739,5.732,0.07,-1.0,-1.852,-1.787
15344,4.722,5.713,0.075,-1.0,-1.833,-1.763
16344,4.703,5.694,0.08,-1.0,-1.828,-1.753
17345,4.683,5.675,0.085,-1.0,-1.809,-1.729
18345,4.663,5.657,0.09,-1.0,-1.797,-1.712
19346,4.644,5.639,0.095,-1.0,-1.785,-1.695
20346,4.626,5.621,0.1,-1.0,-1.773,-1.678
21347,4.611,5.603,0.105,-1.0,-1.761,-1.661
22348,4.593,5.585,0.11,-1.0,-1.749,-1.644
23348,4.577,5.567,0.115,-1.0,-1.744,-1.634
24349,4.561,5.549,0.12,-1.0,-1.732,-1.617
25349,4.547,5.531,0.125,-1.0,-1.72,-1.6
26350,4.53,5.513,0.13,-1.0,-1.708,-1.583
27350,4.515,5.496,0.135,-1.0,-1.695,-1.565
28351,4.498,5.479,0.14,-1.0,-1.69,-1.555
29351,4.48,5.462,0.145,-1.0,-1.678,-1.538
30352,4.466,5.445,0.15,-1.0,-1.666,-1.521
31353,4.45,5.428,0.155,-1.0,-1.654,-1.504
32354,4.433,5.411,0.16,-1.0,-1.641,-1.486
33354,4.42,5.394,0.165,-1.0,-1.629,-1.469
34355,4.404,5.377,0.17,-1.0,-1.617,-1.452
35355,4.389,5.36,0.175,-1.0,-1.604,-1.434
36356,4.373,5.344,0.18,-1.0,-1.592,-1.417
37356,4.36,5.328,0.185,-1.0,-1.58,-1.4
38357,4.346,5.312,0.19,-1.0,-1.567,-1.382
39358,4.33,5.296,0.195,-1.0,-1.562,-1.372
40358,4.315,5.28,0.2,-1.0,-1.542,-1.347
41359,4.303,5.264,0.205,-1.0,-1.53,-1.33
42359,4.291,5.248,0.21,-1.0,-1.517,-1.312
43360,4.276,5.232,0.215,-1.0,-1.504,-1.294
44360,4.265,5.217,0.22,-1.0,-1.491,-1.276
45361,4.253,5.202,0.225,-1.0,-1.479,-1.259
46361,4.242,5.187,0.23,-1.0,-1.466,-1.241
47362,4.228,5.172,0.235,-1.0,-1.454,-1.224
48363,4.214,5.157,0.24,-1.0,-1.441,-1.206
50133,4.202,5.142,0.245,-1.0,-1.42,-1.18
51133,4.188,5.127,0.25,-1.0,-1.407,-1.162
52134,4.174,5.113,0.255,-1.0,-1.394,-1.144
53135,4.162,5.099,0.26,-1.0,-1.381,-1.126
54135,4.15,5.085,0.265,-1.0,-1.368,-1.108
55136,4.138,5.071,0.27,-1.0,-1.355,-1.09
56136,4.126,5.057,0.275,-1.0,-1.342,-1.072
57137,4.115,5.043,0.28,-1.0,-1.329,-1.054
58137,4.107,5.029,0.285,-1.0,-1.316,-1.036
59138,4.095,5.015,0.29,-1.0,-1.303,-1.018
60139,4.085,5.002,0.295,-1.0,-1.289,-0.999
61139,4.074,4.989,0.3,-1.0,-1.276,-0.981
62140,4.066,4.976,0.305,-1.0,-1.262,-0.962
63140,4.056,4.963,0.31,-1.0,-1.249,-0.944
64141,4.046,4.95,0.315,-1.0,-1.235,-0.925
65141,4.036,4.937,0.32,-1.0,-1.221,-0.906
66142,4.025,4.924,0.325,-1.0,-1.208,-0.888
67142,4.016,4.912,0.33,-1.0,-1.194,-0.869
68143,4.009,4.9,0.335,-1.0,-1.181,-0.851
69143,4.002,4.888,0.34,-1.0,-1.167,-0.832
70144,3.995,4.876,0.345,-1.0,-1.153,-0.813
71145,3.985,4.864,0.35,-1.0,-1.148,-0.803
72657,3.976,4.852,0.355,-1.0,-1.125,-0.775
73658,3.968,4.84,0.36,-1.0,-1.12,-0.765
74658,3.96,4.829,0.365,-1.0,-1.096,-0.736
75659,3.953,4.818,0.37,-1.0,-1.091,-0.726
76659,3.948,4.807,0.375,-1.0,-1.068,-0.698
77911,3.942,4.796,0.38,-1.0,-1.054,-0.679
78911,3.937,4.785,0.385,-1.0,-1.04,-0.66
79912,3.928,4.774,0.39,-1.0,-1.034,-0.649
80913,3.921,4.763,0.395,-1.0,-1.01,-0.62
81913,3.914,4.753,0.4,-1.0,-0.995,-0.6
82914,3.906,4.743,0.405,-1.0,-0.99,-0.59
83914,3.899,4.733,0.41,-1.0,-0.966,-0.561
84915,3.891,4.723,0.415,-1.0,-0.951,-0.541
85915,3.886,4.713,0.42,-1.0,-0.935,-0.52
86916,3.88,4.703,0.425,-1.0,-0.92,-0.5
87917,3.877,4.693,0.43,-1.0,-0.904,-0.479
88917,3.874,4.684,0.435,-1.0,-0.889,-0.459
89918,3.869,4.675,0.44,-1.0,-0.874,-0.439
90919,3.865,4.666,0.445,-1.0,-0.858,-0.418
91919,3.862,4.657,0.45,-1.0,-0.842,-0.397
92920,3.858,4.648,0.455,-1.0,-0.826,-0.376
93920,3.855,4.639,0.46,-1.0,-0.809,-0.354
94921,3.849,4.631,0.465,-1.0,-0.793,-0.333
95921,3.848,4.623,0.47,-1.0,-0.788,-0.323
96922,3.847,4.615,0.475,-1.0,-0.771,-0.301
97922,3.844,4.607,0.48,-1.0,-0.742,-0.267
98923,3.842,4.599,0.485,-1.0,-0.725,-0.245
99924,3.84,4.591,0.49,-1.0,-0.707,-0.222
100924,3.835,4.584,0.495,-1.0,-0.689,-0.199
101925,3.834,4.577,0.5,-1.0,-0.672,-0.177
102925,3.831,4.57,0.505,-1.0,-0.667,-0.167
103926,3.831,4.563,0.51,-1.0,-0.648,-0.143
104927,3.831,4.556,0.515,-1.0,-0.63,-0.12
105927,3.83,4.549,0.52,-1.0,-0.61,-0.095
106928,3.829,4.543,0.525,-1.0,-0.59,-0.07
107928,3.826,4.537,0.53,-1.0,-0.57,-0.045
108929,3.826,4.531,0.535,-1.0,-0.565,-0.035
109929,3.827,4.525,0.54,-1.0,-0.544,-0.009
110930,3.826,4.519,0.545,-1.0,-0.508,0.031
111930,3.828,4.514,0.55,-1.0,-0.486,0.058
112931,3.83,4.509,0.555,-1.0,-0.464,0.085
113932,3.83,4.504,0.56,-1.0,-0.441,0.113
114932,3.833,4.499,0.565,-1.0,-0.435,0.124
115933,3.833,4.495,0.57,-1.0,-0.391,0.173
116934,3.835,4.491,0.575,-1.0,-0.364,0.205
117934,3.838,4.487,0.58,-1.0,-0.336,0.238
118935,3.839,4.483,0.585,-1.0,-0.304,0.275
119935,3.844,4.48,0.59,-1.0,-0.298,0.286
121064,3.845,4.477,0.595,-1.0,-0.236,0.353
122065,3.85,4.474,0.6,-1.0,-0.23,0.364
123066,3.852,4.472,0.605,-1.0,-0.141,0.458
124066,3.859,4.471,0.61,-1.0,-0.054,0.55
125067,3.866,4.472,0.615,-1.0,0.114,0.724
126067,3.872,4.473,0.62,-1.0,0.164,0.779
127068,3.878,4.475,0.625,-1.0,0.202,0.822
128069,3.887,4.477,0.63,-1.0,0.232,0.857
129069,3.893,4.479,0.635,-1.0,0.228,0.858
130186,3.904,4.481,0.64,-1.0,0.281,0.916
131187,3.912,4.484,0.645,-1.0,0.301,0.941
132188,3.921,4.487,0.65,-1.0,0.319,0.964
133188,3.929,4.49,0.655,-1.0,0.336,0.986
134189,3.938,4.493,0.66,-1.0,0.352,1.007
135190,3.946,4.496,0.665,-1.0,0.367,1.027
136190,3.958,4.499,0.67,-1.0,0.382,1.047
137191,3.968,4.502,0.675,-1.0,0.396,1.066
138278,3.979,4.506,0.68,-1.0,0.409,1.084
139278,3.991,4.51,0.685,-1.0,0.421,1.101
140279,4.003,4.514,0.69,-1.0,0.432,1.117
141279,4.013,4.518,0.695,-1.0,0.442,1.132
142774,4.023,4.522,0.7,-1.0,0.466,1.161
143775,4.032,4.526,0.705,-1.0,0.462,1.162
144776,4.045,4.53,0.71,-1.0,0.485,1.19
145776,4.058,4.534,0.715,-1.0,0.481,1.191
146777,4.07,4.538,0.72,-1.0,0.49,1.205
147777,4.082,4.543,0.725,-1.0,0.5,1.22
148778,4.092,4.548,0.73,-1.0,0.507,1.232
149779,4.106,4.553,0.735,-1.0,0.514,1.244
150779,4.118,4.558,0.74,-1.0,0.521,1.256
151780,4.131,4.563,0.745,-1.0,0.528,1.268
152780,4.144,4.568,0.75,-1.0,0.545,1.29
153781,4.156,4.573,0.755,-1.0,0.541,1.291
154781,4.168,4.578,0.76,-1.0,0.558,1.313
155782,4.182,4.583,0.765,-1.0,0.554,1.314
