timestamp,x,z,vtheta,grad,g,u
1018,1.015,2.015,0.005,-1.0,1.52,1.52
2018,1.04,2.041,0.01,-1.0,2.639,2.644
3019,1.065,2.067,0.015,-1.0,2.631,2.641
4019,1.09,2.093,0.02,-1.0,2.622,2.637
5020,1.118,2.119,0.025,-1.0,2.614,2.634
6020,1.142,2.145,0.03,-1.0,2.605,2.63
7021,1.166,2.17,0.035,-1.0,2.597,2.627
8022,1.192,2.195,0.04,-1.0,2.589,2.624
9022,1.218,2.22,0.045,-1.0,2.58,2.62
10023,1.245,2.245,0.05,-1.0,2.572,2.617
11023,1.271,2.27,0.055,-1.0,2.564,2.614
12024,1.298,2.295,0.06,-1.0,2.555,2.61
13024,1.325,2.32,0.065,-1.0,2.547,2.607
14025,1.353,2.345,0.07,-1.0,2.538,2.603
15025,1.379,2.37,0.075,-1.0,2.53,2.6
16026,1.404,2.395,0.08,-1.0,2.521,2.596
17027,1.428,2.42,0.085,-1.0,2.513,2.593
18027,1.451,2.445,0.09,-1.0,2.504,2.589
19028,1.474,2.469,0.095,-1.0,2.496,2.586
20028,1.498,2.493,0.1,-1.0,2.487,2.582
21029,1.525,2.517,0.105,-1.0,2.479,2.579
22029,1.549,2.541,0.11,-1.0,2.47,2.575
23305,1.575,2.565,0.115,-1.0,2.458,2.568
24306,1.601,2.589,0.12,-1.0,2.45,2.565
25306,1.628,2.613,0.125,-1.0,2.445,2.565
26307,1.652,2.637,0.13,-1.0,2.436,2.561
28320,1.678,2.661,0.135,-1.0,2.42,2.55
29320,1.702,2.685,0.14,-1.0,2.415,2.55
30734,1.725,2.709,0.145,-1.0,2.403,2.543
31734,1.751,2.732,0.15,-1.0,2.394,2.539
32735,1.776,2.755,0.155,-1.0,2.385,2.535
33735,1.799,2.778,0.16,-1.0,2.377,2.532
34736,1.826,2.801,0.165,-1.0,2.368,2.528
35737,1.85,2.824,0.17,-1.0,2.359,2.524
36737,1.875,2.847,0.175,-1.0,2.351,2.521
37738,1.898,2.87,0.18,-1.0,2.342,2.517
38738,1.924,2.893,0.185,-1.0,2.333,2.513
39739,1.949,2.916,0.19,-1.0,2.324,2.509
40739,1.971,2.939,0.195,-1.0,2.316,2.506
41740,1.994,2.962,0.2,-1.0,2.307,2.502
42740,2.021,2.984,0.205,-1.0,2.298,2.498
43741,2.047,3.006,0.21,-1.0,2.289,2.494
44742,2.07,3.028,0.215,-1.0,2.28,2.49
45743,2.097,3.05,0.22,-1.0,2.272,2.487
46743,2.123,3.072,0.225,-1.0,2.263,2.483
47744,2.149,3.094,0.23,-1.0,2.254,2.479
48744,2.172,3.116,0.235,-1.0,2.245,2.475
49745,2.194,3.138,0.24,-1.0,2.236,2.471
50745,2.219,3.16,0.245,-1.0,2.227,2.467
51746,2.242,3.182,0.25,-1.0,2.218,2.463
52747,2.264,3.204,0.255,-1.0,2.209,2.459
53747,2.288,3.226,0.26,-1.0,2.2,2.455
54748,2.312,3.247,0.265,-1.0,2.191,2.451
55748,2.335,3.268,0.27,-1.0,2.182,2.447
56749,2.358,3.289,0.275,-1.0,2.173,2.443
57749,2.382,3.31,0.28,-1.0,2.164,2.439
58750,2.408,3.331,0.285,-1.0,2.155,2.435
59751,2.43,3.352,0.29,-1.0,2.146,2.431
60751,2.454,3.373,0.295,-1.0,2.137,2.427
61752,2.478,3.394,0.3,-1.0,2.128,2.423
62752,2.504,3.415,0.305,-1.0,2.118,2.418
63753,2.527,3.436,0.31,-1.0,2.109,2.414
64753,2.55,3.457,0.315,-1.0,2.1,2.41
65754,2.573,3.477,0.32,-1.0,2.091,2.406
66754,2.595,3.497,0.325,-1.0,2.082,2.402
67755,2.619,3.517,0.33,-1.0,2.073,2.398
68756,2.644,3.537,0.335,-1.0,2.064,2.394
69756,2.669,3.557,0.34,-1.0,2.055,2.39
70757,2.694,3.577,0.345,-1.0,2.05,2.39
71757,2.716,3.597,0.35,-1.0,2.037,2.382
73459,2.738,3.617,0.355,-1.0,2.023,2.373
74460,2.761,3.637,0.36,-1.0,2.014,2.369
75461,2.784,3.657,0.365,-1.0,2.005,2.365
76461,2.808,3.676,0.37,-1.0,1.996,2.361
77462,2.833,3.695,0.375,-1.0,1.987,2.357
78462,2.858,3.714,0.38,-1.0,1.978,2.353
79463,2.883,3.733,0.385,-1.0,1.973,2.353
80464,2.904,3.752,0.39,-1.0,1.964,2.349
81464,2.927,3.771,0.395,-1.0,1.95,2.34
82465,2.949,3.79,0.4,-1.0,1.945,2.34
83465,2.971,3.809,0.405,-1.0,1.932,2.332
84466,2.993,3.828,0.41,-1.0,1.922,2.327
85467,3.014,3.847,0.415,-1.0,1.913,2.323
86467,3.037,3.866,0.42,-1.0,1.903,2.318
87468,3.06,3.884,0.425,-1.0,1.894,2.314
88468,3.085,3.902,0.43,-1.0,1.889,2.314
89469,3.11,3.92,0.435,-1.0,1.88,2.31
90470,3.132,3.938,0.44,-1.0,1.871,2.306
91470,3.155,3.956,0.445,-1.0,1.861,2.301
92471,3.179,3.974,0.45,-1.0,1.852,2.297
93471,3.202,3.992,0.455,-1.0,1.842,2.292
94472,3.225,4.01,0.46,-1.0,1.833,2.288
95472,3.246,4.028,0.465,-1.0,1.823,2.283
96473,3.271,4.046,0.47,-1.0,1.814,2.279
97473,3.296,4.064,0.475,-1.0,1.804,2.274
98474,3.319,4.081,0.48,-1.0,1.794,2.269
99659,3.342,4.098,0.485,-1.0,1.785,2.265
100660,3.365,4.115,0.49,-1.0,1.775,2.26
101661,3.385,4.132,0.495,-1.0,1.766,2.256
103030,3.408,4.149,0.5,-1.0,1.751,2.246
104031,3.429,4.166,0.505,-1.0,1.741,2.241
105032,3.452,4.183,0.51,-1.0,1.736,2.241
106684,3.476,4.2,0.515,-1.0,1.722,2.232
107685,3.498,4.217,0.52,-1.0,1.712,2.227
108686,3.52,4.234,0.525,-1.0,1.702,2.222
109686,3.539,4.25,0.53,-1.0,1.692,2.217
110687,3.561,4.266,0.535,-1.0,1.682,2.212
111687,3.584,4.282,0.54,-1.0,1.673,2.208
112688,3.605,4.298,0.545,-1.0,1.663,2.203
113707,3.628,4.314,0.55,-1.0,1.653,2.198
114708,3.652,4.33,0.555,-1.0,1.644,2.194
115709,3.673,4.346,0.56,-1.0,1.639,2.194
116709,3.697,4.362,0.565,-1.0,1.624,2.184
117710,3.717,4.378,0.57,-1.0,1.614,2.179
118711,3.739,4.394,0.575,-1.0,1.604,2.174
119711,3.761,4.409,0.58,-1.0,1.594,2.169
120712,3.781,4.424,0.585,-1.0,1.584,2.164
121712,3.804,4.439,0.59,-1.0,1.575,2.16
122713,3.823,4.454,0.595,-1.0,1.565,2.155
123713,3.846,4.469,0.6,-1.0,1.555,2.15
124714,3.865,4.484,0.605,-1.0,1.545,2.145
125714,3.888,4.499,0.61,-1.0,1.535,2.14
126715,3.909,4.514,0.615,-1.0,1.525,2.135
127716,3.928,4.529,0.62,-1.0,1.514,2.129
128716,3.947,4.544,0.625,-1.0,1.504,2.124
129717,3.968,4.558,0.63,-1.0,1.494,2.119
130717,3.986,4.572,0.635,-1.0,1.484,2.114
131718,4.009,4.586,0.64,-1.0,1.474,2.109
132719,4.029,4.6,0.645,-1.0,1.463,2.103
133719,4.05,4.614,0.65,-1.0,1.453,2.098
134720,4.069,4.628,0.655,-1.0,1.443,2.093
135720,4.089,4.642,0.66,-1.0,1.433,2.088
136721,4.107,4.656,0.665,-1.0,1.423,2.083
137721,4.129,4.67,0.67,-1.0,1.413,2.078
138722,4.149,4.684,0.675,-1.0,1.403,2.073
139722,4.169,4.697,0.68,-1.0,1.392,2.067
140723,4.191,4.71,0.685,-1.0,1.382,2.062
141724,4.212,4.723,0.69,-1.0,1.372,2.057
142724,4.231,4.736,0.695,-1.0,1.362,2.052
143725,4.25,4.749,0.7,-1.0,1.352,2.047
144725,4.268,4.762,0.705,-1.0,1.341,2.041
145726,4.29,4.775,0.71,-1.0,1.331,2.036
146727,4.311,4.788,0.715,-1.0,1.32,2.03
147727,4.332,4.801,0.72,-1.0,1.309,2.024
148728,4.352,4.813,0.725,-1.0,1.299,2.019
149728,4.37,4.825,0.73,-1.0,1.289,2.014
150729,4.391,4.837,0.735,-1.0,1.279,2.009
151729,4.411,4.849,0.74,-1.0,1.268,2.003
152730,4.431,4.861,0.745,-1.0,1.258,1.998
153730,4.451,4.873,0.75,-1.0,1.253,1.998
154731,4.47,4.885,0.755,-1.0,1.237,1.987
155732,4.489,4.897,0.76,-1.0,1.227,1.982
156732,4.51,4.909,0.765,-1.0,1.216,1.976
157733,4.527,4.921,0.77,-1.0,1.205,1.97
158733,4.545,4.932,0.775,-1.0,1.194,1.964
159734,4.564,4.943,0.78,-1.0,1.184,1.959
160734,4.586,4.954,0.785,-1.0,1.173,1.953
161735,4.604,4.965,0.79,-1.0,1.163,1.948
162736,4.625,4.976,0.795,-1.0,1.152,1.942
163736,4.645,4.987,0.8,-1.0,1.141,1.936
164737,4.666,4.998,0.805,-1.0,1.131,1.931
165737,4.684,5.009,0.81,-1.0,1.12,1.925
166738,4.704,5.02,0.815,-1.0,1.109,1.919
167738,4.724,5.03,0.82,-1.0,1.099,1.914
168739,4.744,5.04,0.825,-1.0,1.094,1.914
169739,4.764,5.05,0.83,-1.0,1.089,1.914
170740,4.781,5.06,0.835,-1.0,1.085,1.915
171741,4.801,5.07,0.84,-1.0,1.074,1.909
172741,4.821,5.08,0.845,-1.0,1.063,1.903
173742,4.839,5.09,0.85,-1.0,1.053,1.898
174742,4.857,5.1,0.855,-1.0,1.042,1.892
175743,4.875,5.11,0.86,-1.0,1.031,1.886
176743,4.893,5.12,0.865,-1.0,1.019,1.879
177744,4.912,5.13,0.87,-1.0,1.008,1.873
178744,4.93,5.139,0.875,-1.0,0.997,1.867
179745,4.947,5.148,0.88,-1.0,0.992,1.867
180746,4.963,5.157,0.885,-1.0,0.988,1.868
181746,4.981,5.166,0.89,-1.0,0.971,1.856
182747,4.999,5.175,0.895,-1.0,0.966,1.856
183747,5.016,5.184,0.9,-1.0,0.956,1.851
184748,5.031,5.193,0.905,-1.0,0.938,1.838
185748,5.049,5.202,0.91,-1.0,0.933,1.838
186749,5.067,5.211,0.915,-1.0,0.915,1.825
187749,5.084,5.22,0.92,-1.0,0.904,1.819
188750,5.103,5.228,0.925,-1.0,0.892,1.812
189751,5.119,5.236,0.93,-1.0,0.881,1.806
190751,5.137,5.244,0.935,-1.0,0.876,1.806
191752,5.155,5.252,0.94,-1.0,0.859,1.794
192752,5.17,5.26,0.945,-1.0,0.854,1.794
193753,5.19,5.268,0.95,-1.0,0.843,1.788
194753,5.208,5.276,0.955,-1.0,0.831,1.781
195754,5.224,5.284,0.96,-1.0,0.82,1.775
196754,5.239,5.292,0.965,-1.0,0.801,1.761
197755,5.257,5.299,0.97,-1.0,0.796,1.761
198755,5.274,5.306,0.975,-1.0,0.778,1.748
199756,5.291,5.313,0.98,-1.0,0.773,1.748
200757,5.308,5.32,0.985,-1.0,0.754,1.734
201757,5.322,5.327,0.99,-1.0,0.742,1.727
202758,5.339,5.334,0.99,-1.0,0.738,1.728
203758,5.335,5.341,0.99,1.0,0.718,-0.271
204759,5.353,5.348,0.99,-1.0,0.706,1.696
205759,5.347,5.354,0.99,1.0,0.694,-0.295
