timestamp,state,vstate,vartheta
0,26165333,21114473,91500
210,26139860,21114923,185000
441,26038940,21045610,283000
657,25879215,20948506,372500
876,25681564,20830904,463000
1096,25439914,20689982,559499
1330,25183161,20538648,653499
1579,24875109,20370336,751499
1805,24529506,20190653,850999
2027,24201946,20022130,938999
2249,23823382,19835461,1033499
2476,23425050,19641775,1128999
2706,22997409,19438488,1226499
2927,22547686,19231137,1323999
3150,22069676,19020798,1420499
3378,21561082,18801751,1519499
3605,21043513,18582812,1616499
3837,20477860,18351702,1717499
4075,19874561,18111747,1820999
4302,19255611,17870976,1922999
4538,18577166,17620405,2028999
4762,17899866,17373000,2132999
4972,17262761,17146580,2227499
5197,16912712,16911090,2250999
5412,16694746,16695522,2250999
5636,16470615,16467895,2250999
5858,16246110,16245230,2250999
6082,16016147,16015074,2250999
6297,15802397,15804228,2250999
6514,15596804,15596786,2250999
6737,15405160,15403233,2250999
6956,15232423,15232452,2250999
7188,15054022,15052459,2250999
7413,14905179,14907218,2250999
7636,14799089,14797972,2250999
7859,14724162,14722214,2250999
8080,14698666,14700810,2250999
8294,14750363,14749673,2250999
8508,14810459,14813149,2250999
8725,14888671,14888077,2250999
8947,14972463,14971189,2250999
9167,15057253,15060044,2250999
9385,15153800,15152072,2250999
9605,15248262,15247274,2250999
9818,15347050,15349039,2250999
10035,15451365,15452879,2250999
10256,15557777,15557415,2250999
10504,15672993,15674946,2250999
10722,15790414,15788879,2250999
10936,15897935,15896017,2250999
11163,16016330,16018004,2250999
11383,16135375,16134401,2250999
11609,16254680,16256395,2250999
11839,16387074,16388126,2250999
12055,16505327,16503574,2250999
12274,16627604,16628647,2250999
12532,16766318,16768682,2250999
12749,16906387,16905237,2250999
12964,17040044,17039075,2250999
13180,17167819,17169729,2250999
13401,17304691,17303168,2250999
13634,17445976,17446227,2250999
13859,17583402,17585182,2250999
14069,17715736,17718115,2250999
14290,17862228,17860754,2250999
14505,18000464,17999047,2250999
14720,18141996,18142335,2250999
14936,18285575,18285980,2250999
15167,18435276,18437918,2250999
15397,18590645,18588456,2250999
15613,18723659,18724523,2250999
15828,18860545,18862223,2250999
16045,19009714,19009478,2250999
16257,19150215,19149979,2250999
16478,19298418,19296883,2250999
16698,19446113,19444499,2250999
16935,19595612,19594815,2250999
17162,19737866,19737820,2250999
17376,19866986,19866471,2250999
17598,19983501,19983382,2250999
17816,20083532,20081056,2250999
18036,20155750,20153942,2250999
18259,20199773,20198410,2250999
18479,20176002,20174815,2250999
18707,20133232,20131719,2250999
18927,20082540,20081405,2250999
19153,20022608,20022611,2250999
19386,19957664,19957171,2250999
19612,19893974,19892500,2250999
19849,19817967,19817638,2250999
20076,19742469,19741816,2250999
20308,19659712,19659912,2250999
20528,19585668,19583758,2250999
20750,19501027,19500053,2250999
20967,19417669,19419169,2250999
21184,19331600,19333214,2250999
21420,19232086,19234132,2250999
21637,19144001,19145088,2250999
21874,19042347,19043872,2250999
22092,18947330,18948056,2250999
22305,18847158,18849738,2250999
22525,18748511,18748983,2250999
22750,18640699,18642389,2250999
22966,18541541,18539174,2250999
23183,18437900,18438762,2250999
23423,18325137,18324155,2250999
23658,18210358,18211417,2250999
23890,18098049,18095918,2250999
24115,17985391,17982832,2250999
24340,17859749,17858644,2250999
24561,17733502,17734850,2250999
24783,17611983,17610772,2250999
25008,17486570,17487296,2250999
25226,17370291,17367441,2250999
25439,17245418,17245039,2250999
25665,17115624,17117197,2250999
25888,16991198,16989744,2250999
26111,16852660,16854712,2250999
26333,16720628,16722743,2250999
26585,16566271,16566966,2250999
26809,16426598,16426866,2250999
27038,16280074,16282473,2250999
27268,16135423,16133978,2250999
27502,15988571,15989903,2250999
27720,15856623,15853916,2250999
27942,15700569,15701161,2250999
28158,15556247,15553929,2250999
28394,15395379,15397922,2250999
28622,15243461,15245240,2250999
28844,15087529,15090053,2250999
29066,14937254,14937372,2250999
29308,14772029,14773843,2250999
29541,14627375,14626032,2250999
29773,14460502,14459835,2250999
29992,14300727,14299049,2250999
30222,14136932,14136541,2250999
30448,13977518,13977255,2250999
30668,13823501,13825419,2250999
30886,13673647,13673626,2250999
31113,13508207,13507486,2250999
31338,13350581,13348974,2250999
31569,13193625,13191641,2250999
31787,13038181,13035570,2250999
32032,12872553,12871161,2250999
32270,12720962,12721746,2250999
32497,12596002,12593858,2250999
32717,12490967,12492419,2250999
32934,12418528,12418298,2250999
33160,12380227,12378604,2250999
33382,12406019,12407324,2250999
33617,12449703,12451656,2250999
33837,12499898,12499245,2250999
34057,12556545,12557179,2250999
34280,12621981,12620272,2250999
34542,12695214,12695050,2250999
34766,12763406,12764104,2250999
34988,12833405,12834296,2250999
35222,12908888,12911531,2250999
35447,12988606,12991347,2250999
35676,13073663,13071450,2250999
35893,13152088,13151089,2250999
36103,13231048,13231725,2250999
36329,13316557,13318833,2250999
36538,13402074,13400663,2250999
36748,13487734,13486994,2250999
36968,13578913,13576781,2250999
37187,13669843,13671587,2250999
37420,13774811,13774237,2250999
37639,13871121,13870996,2250999
37857,13968372,13969568,2250999
38090,14073485,14074953,2250999
38315,14175663,14176092,2250999
38537,14279802,14280282,2250999
38747,14381269,14382519,2250999
38966,14488439,14488857,2250999
39180,14595594,14595831,2250999
39395,14703512,14704681,2250999
39612,14812770,14811652,2250999
39834,14923493,14923792,2250999
40059,15039425,15039331,2250999
40287,15155039,15153747,2250999
40516,15264263,15265056,2250999
40737,15379129,15379579,2250999
40950,15486916,15487167,2250999
41161,15604005,15606736,2250999
41389,15732498,15733622,2250999
41614,15854359,15856294,2250999
41830,15980724,15978864,2250999
42050,16100629,16101636,2250999
42257,16220002,16218060,2250999
