timestamp,state,vstate,vartheta
0,2598780,6286757,795663
209,2655996,6171036,899163
409,2747368,6072925,998663
801,3015434,5912459,1192864
1002,3208975,5858346,1292707
1202,3431512,5810738,1392051
1547,3962416,5849093,1562784
1748,4362891,5924824,1662627
1949,4768999,5989319,1761972
2181,5164596,5968560,1876792
2382,5569936,5979728,1976635
2582,5921446,5930986,2075980
2806,5887264,5886384,2075980
3006,5869177,5868438,2075980
3278,5810289,5808874,2075980
3479,5765589,5767033,2075980
3679,5743352,5742629,2075980
3879,5739970,5739196,2075980
4080,5732400,5732836,2075980
4280,5692027,5691169,2075980
4481,5652111,5653506,2075980
4682,5648481,5649704,2075980
4907,5649333,5647963,2075980
5108,5653817,5653755,2075980
5383,5637431,5638269,2075980
5584,5633412,5632440,2075980
5795,5631088,5632012,2075980
5997,5606260,5603961,2075980
6219,5596157,5593724,2075980
6420,5583383,5584790,2075980
6634,5582006,5581603,2075980
6835,5576143,5575141,2075980
7165,5574783,5576887,2075980
7427,5576438,5574338,2075980
7627,5572483,5572274,2075980
7953,5572056,5571371,2075980
8153,5570723,5570286,2075980
8353,5570241,5570004,2075980
8669,5566929,5568522,2075980
8870,5569098,5567750,2075980
9092,5558745,5558373,2075980
9293,5555486,5557170,2075980
9493,5557070,5556995,2075980
9694,5556160,5556614,2075980
9894,5552038,5551537,2075980
10128,5549067,5551265,2075980
10329,5550790,5551145,2075980
10545,5551495,5550359,2075980
10745,5551193,5550009,2075980
10946,5550676,5550009,2075980
11146,5546891,5546214,2075980
11347,5546216,5546041,2075980
11547,5547599,5545543,2075980
11749,5545024,5545006,2075980
12092,5545990,5544810,2075980
12292,5541778,5542330,2075980
12525,5542897,5542138,2075980
12726,5540309,5541320,2075980
12926,5540049,5540425,2075980
13184,5542288,5540426,2075980
13384,5540447,5540132,2075980
13708,5539416,5539977,2075980
13908,5539402,5539736,2075980
14129,5538225,5539736,2075980
14330,5540271,5539662,2075980
14530,5539452,5537833,2075980
14731,5537706,5537805,2075980
14931,5539446,5537480,2075980
15132,5535697,5537480,2075980
