timestamp,state,vstate,vartheta
0,3611725,5678395,298320
200,2984837,4983103,397743
400,2656366,4558150,497165
601,2585991,4375026,596663
801,2610559,4269177,696163
1002,2830152,4345536,795663
1202,3089070,4437308,895163
1403,3284516,4443707,994663
1604,3622444,4582960,1094518
1804,3914523,4636419,1193862
2005,4232291,4707937,1293206
2205,4587382,4792780,1392551
2406,4844566,4844151,1463440
2606,4912482,4911867,1463440
2806,5038811,5037960,1463440
3007,5100087,5098600,1463440
3207,5114166,5113164,1463440
3408,5182173,5182524,1463440
3690,5244444,5243538,1463440
3890,5267958,5268996,1463440
4091,5360262,5360001,1463440
4291,5390942,5391437,1463440
4491,5419200,5420102,1463440
4692,5436936,5437426,1463440
4892,5446896,5446335,1463440
5093,5493609,5492020,1463440
5293,5502381,5501769,1463440
5494,5501281,5501490,1463440
5694,5503418,5501490,1463440
5894,5505906,5507508,1463440
6095,5503904,5502472,1463440
6295,5503027,5502702,1463440
6502,5496189,5498002,1463440
6703,5498975,5497817,1463440
6918,5502544,5502693,1463440
7118,5502129,5503367,1463440
7347,5502922,5503196,1463440
7548,5505032,5502972,1463440
7749,5502375,5503144,1463440
7949,5511845,5512255,1463440
8150,5511582,5512110,1463440
8350,5512859,5513303,1463440
8550,5512576,5513077,1463440
8751,5514935,5514528,1463440
8951,5515118,5514528,1463440
9152,5515992,5514745,1463440
9352,5513923,5514592,1463440
9552,5516107,5517740,1463440
9753,5520349,5520319,1463440
9953,5520823,5520509,1463440
10154,5520798,5522331,1463440
10355,5521404,5522670,1463440
10556,5523315,5524575,1463440
10756,5525015,5524791,1463440
10956,5526140,5525130,1463440
11157,5526823,5525419,1463440
11357,5525778,5526541,1463440
11558,5526669,5526433,1463440
11774,5526003,5526829,1463440
11975,5527183,5526630,1463440
12175,5525685,5526630,1463440
12376,5528169,5527199,1463440
12576,5529728,5528908,1463440
12776,5528743,5528908,1463440
12977,5528491,5529423,1463440
13177,5529547,5529302,1463440
13378,5530405,5529269,1463440
13578,5529895,5529536,1463440
13779,5529888,5529804,1463440
13979,5530619,5529804,1463440
14179,5529554,5529804,1463440
14589,5529180,5529726,1463440
14900,5530578,5529634,1463440
15100,5530085,5529624,1463440
15300,5529173,5529624,1463440
15501,5530937,5530381,1463440
15701,5530653,5530379,1463440
15902,5531193,5531059,1463440
16102,5530874,5531059,1463440
16302,5531736,5531059,1463440
16584,5532351,5531090,1463440
16784,5532094,5531090,1463440
16984,5529644,5531090,1463440
17185,5532156,5531378,1463440
17385,5533005,5531409,1463440
17586,5531584,5531543,1463440
17786,5531865,5531521,1463440
17986,5533552,5531945,1463440
18187,5532366,5531931,1463440
18387,5531932,5531975,1463440
18588,5532888,5532006,1463440
18788,5533427,5532128,1463440
18989,5531395,5532120,1463440
19189,5532797,5532192,1463440
19389,5530472,5532187,1463440
19590,5531196,5532253,1463440
19889,5532072,5532261,1463440
20090,5531682,5532408,1463440
20291,5532879,5532449,1463440
20491,5532828,5532444,1463440
20692,5531349,5532430,1463440
20892,5532645,5532427,1463440
21093,5531667,5532428,1463440
21293,5531678,5532427,1463440
21493,5532306,5532550,1463440
21694,5533170,5532550,1463440
21894,5532674,5532609,1463440
22095,5533732,5532614,1463440
22295,5532906,5532655,1463440
22496,5532043,5532671,1463440
22696,5533184,5532685,1463440
22937,5533100,5532702,1463440
23137,5531712,5532714,1463440
23337,5534012,5532714,1463440
