timestamp,x,z,vtheta,grad,g,u
1147,1.047,2.046,0.005,-1.0,4.645,4.645
2148,1.093,2.092,0.01,-1.0,4.624,4.629
3149,1.139,2.137,0.015,-1.0,4.595,4.605
4149,1.185,2.182,0.02,-1.0,4.566,4.581
5150,1.229,2.227,0.025,-1.0,4.536,4.556
6150,1.273,2.272,0.03,-1.0,4.507,4.532
7151,1.316,2.316,0.035,-1.0,4.477,4.507
8151,1.361,2.36,0.04,-1.0,4.449,4.484
9152,1.404,2.404,0.045,-1.0,4.418,4.458
10153,1.45,2.447,0.05,-1.0,4.389,4.434
11153,1.491,2.49,0.055,-1.0,4.36,4.41
12154,1.534,2.533,0.06,-1.0,4.33,4.385
13154,1.579,2.576,0.065,-1.0,4.301,4.361
14155,1.621,2.618,0.07,-1.0,4.271,4.336
15156,1.666,2.66,0.075,-1.0,4.242,4.312
16156,1.706,2.702,0.08,-1.0,4.212,4.287
17157,1.75,2.743,0.085,-1.0,4.183,4.263
18157,1.79,2.784,0.09,-1.0,4.153,4.238
19158,1.834,2.825,0.095,-1.0,4.124,4.214
20159,1.875,2.865,0.1,-1.0,4.094,4.189
21159,1.918,2.905,0.105,-1.0,4.065,4.165
22160,1.958,2.945,0.11,-1.0,4.036,4.141
23160,2.0,2.985,0.115,-1.0,4.006,4.116
24161,2.041,3.024,0.12,-1.0,3.977,4.092
25162,2.08,3.063,0.125,-1.0,3.947,4.067
26162,2.118,3.102,0.13,-1.0,3.918,4.043
27163,2.159,3.14,0.135,-1.0,3.888,4.018
28163,2.196,3.178,0.14,-1.0,3.859,3.994
29164,2.237,3.216,0.145,-1.0,3.829,3.969
30165,2.276,3.254,0.15,-1.0,3.8,3.945
31165,2.314,3.291,0.155,-1.0,3.77,3.92
32166,2.353,3.328,0.16,-1.0,3.741,3.896
33166,2.393,3.365,0.165,-1.0,3.711,3.871
34167,2.432,3.401,0.17,-1.0,3.681,3.846
35167,2.469,3.437,0.175,-1.0,3.652,3.822
36168,2.506,3.473,0.18,-1.0,3.623,3.798
37169,2.544,3.508,0.185,-1.0,3.594,3.774
38169,2.583,3.543,0.19,-1.0,3.564,3.749
39170,2.622,3.578,0.195,-1.0,3.535,3.725
40170,2.658,3.613,0.2,-1.0,3.507,3.702
41171,2.695,3.647,0.205,-1.0,3.475,3.675
42172,2.732,3.681,0.21,-1.0,3.446,3.651
43172,2.767,3.715,0.215,-1.0,3.416,3.626
44173,2.804,3.748,0.22,-1.0,3.386,3.601
45173,2.841,3.781,0.225,-1.0,3.357,3.577
46174,2.874,3.814,0.23,-1.0,3.327,3.552
47174,2.911,3.846,0.235,-1.0,3.298,3.528
48175,2.948,3.878,0.24,-1.0,3.268,3.503
49176,2.984,3.91,0.245,-1.0,3.239,3.479
50176,3.018,3.942,0.25,-1.0,3.209,3.454
51177,3.054,3.973,0.255,-1.0,3.179,3.429
52177,3.087,4.004,0.26,-1.0,3.15,3.405
53178,3.122,4.035,0.265,-1.0,3.12,3.38
54178,3.157,4.065,0.27,-1.0,3.091,3.356
55179,3.191,4.095,0.275,-1.0,3.061,3.331
56180,3.222,4.125,0.28,-1.0,3.032,3.307
57180,3.252,4.155,0.285,-1.0,3.002,3.282
58181,3.285,4.184,0.29,-1.0,2.972,3.257
59181,3.316,4.213,0.295,-1.0,2.944,3.234
60182,3.347,4.242,0.3,-1.0,2.913,3.208
61182,3.376,4.27,0.305,-1.0,2.883,3.183
62183,3.408,4.298,0.31,-1.0,2.855,3.16
63184,3.438,4.326,0.315,-1.0,2.824,3.134
64184,3.471,4.353,0.32,-1.0,2.794,3.109
65185,3.5,4.38,0.325,-1.0,2.766,3.086
66185,3.532,4.407,0.33,-1.0,2.737,3.062
67186,3.561,4.434,0.335,-1.0,2.706,3.036
68187,3.592,4.46,0.34,-1.0,2.676,3.011
69187,3.622,4.486,0.345,-1.0,2.648,2.988
