timestamp,x,z,vtheta,grad,g,u
577,7.951,8.952,0.005,-1.0,-4.737,-4.737
1578,7.907,8.908,0.01,-1.0,-4.349,-4.344
2578,7.864,8.864,0.015,-1.0,-4.311,-4.301
3579,7.822,8.821,0.02,-1.0,-4.291,-4.276
4579,7.78,8.778,0.025,-1.0,-4.262,-4.242
5580,7.739,8.735,0.03,-1.0,-4.233,-4.208
6580,7.696,8.693,0.035,-1.0,-4.195,-4.165
7581,7.655,8.651,0.04,-1.0,-4.165,-4.13
8582,7.615,8.609,0.045,-1.0,-4.137,-4.097
9582,7.572,8.567,0.05,-1.0,-4.117,-4.072
10583,7.531,8.526,0.055,-1.0,-4.079,-4.029
11583,7.49,8.485,0.06,-1.0,-4.05,-3.995
12584,7.452,8.444,0.065,-1.0,-4.021,-3.961
13585,7.414,8.404,0.07,-1.0,-3.992,-3.927
14585,7.375,8.364,0.075,-1.0,-3.962,-3.892
15586,7.335,8.324,0.08,-1.0,-3.932,-3.857
16586,7.297,8.284,0.085,-1.0,-3.913,-3.833
17587,7.257,8.245,0.09,-1.0,-3.876,-3.791
18588,7.221,8.206,0.095,-1.0,-3.847,-3.757
19588,7.181,8.167,0.1,-1.0,-3.818,-3.723
20589,7.143,8.129,0.105,-1.0,-3.789,-3.689
21589,7.105,8.091,0.11,-1.0,-3.76,-3.655
22590,7.067,8.053,0.115,-1.0,-3.74,-3.63
23591,7.029,8.015,0.12,-1.0,-3.702,-3.587
24591,6.995,7.978,0.125,-1.0,-3.673,-3.553
25592,6.959,7.941,0.13,-1.0,-3.644,-3.519
26593,6.926,7.904,0.135,-1.0,-3.624,-3.494
27593,6.889,7.868,0.14,-1.0,-3.586,-3.451
28594,6.853,7.832,0.145,-1.0,-3.557,-3.417
29594,6.821,7.796,0.15,-1.0,-3.528,-3.383
30595,6.785,7.761,0.155,-1.0,-3.499,-3.349
31596,6.75,7.726,0.16,-1.0,-3.479,-3.324
32596,6.719,7.691,0.165,-1.0,-3.441,-3.281
33597,6.686,7.656,0.17,-1.0,-3.412,-3.247
34598,6.654,7.622,0.175,-1.0,-3.383,-3.213
35598,6.624,7.588,0.18,-1.0,-3.363,-3.188
36599,6.591,7.554,0.185,-1.0,-3.326,-3.146
37600,6.558,7.521,0.19,-1.0,-3.297,-3.112
38600,6.524,7.488,0.195,-1.0,-3.277,-3.087
39601,6.493,7.455,0.2,-1.0,-3.248,-3.053
40601,6.462,7.422,0.205,-1.0,-3.21,-3.01
41602,6.43,7.39,0.21,-1.0,-3.181,-2.976
42603,6.402,7.358,0.215,-1.0,-3.161,-2.951
43603,6.373,7.326,0.22,-1.0,-3.123,-2.908
44604,6.343,7.295,0.225,-1.0,-3.094,-2.874
45604,6.313,7.264,0.23,-1.0,-3.065,-2.84
46605,6.284,7.233,0.235,-1.0,-3.037,-2.807
47606,6.256,7.202,0.24,-1.0,-3.008,-2.773
48606,6.226,7.172,0.245,-1.0,-2.987,-2.747
49607,6.196,7.142,0.25,-1.0,-2.95,-2.705
50607,6.171,7.112,0.255,-1.0,-2.921,-2.671
51608,6.143,7.083,0.26,-1.0,-2.892,-2.637
52609,6.116,7.054,0.265,-1.0,-2.872,-2.612
53609,6.091,7.025,0.27,-1.0,-2.834,-2.569
54610,6.063,6.996,0.275,-1.0,-2.805,-2.535
55610,6.036,6.968,0.28,-1.0,-2.785,-2.51
56611,6.01,6.94,0.285,-1.0,-2.747,-2.467
57611,5.984,6.912,0.29,-1.0,-2.718,-2.433
58612,5.959,6.885,0.295,-1.0,-2.689,-2.399
59613,5.935,6.858,0.3,-1.0,-2.661,-2.366
60613,5.911,6.831,0.305,-1.0,-2.641,-2.341
61614,5.889,6.804,0.31,-1.0,-2.603,-2.298
62615,5.868,6.778,0.315,-1.0,-2.574,-2.264
63615,5.843,6.752,0.32,-1.0,-2.545,-2.23
64616,5.82,6.726,0.325,-1.0,-2.516,-2.196
65616,5.8,6.701,0.33,-1.0,-2.487,-2.162
66617,5.779,6.676,0.335,-1.0,-2.459,-2.129
67618,5.758,6.651,0.34,-1.0,-2.43,-2.095
68618,5.735,6.626,0.345,-1.0,-2.408,-2.068
69619,5.712,6.602,0.35,-1.0,-2.381,-2.036
70619,5.692,6.578,0.355,-1.0,-2.343,-1.993
71620,5.674,6.554,0.36,-1.0,-2.314,-1.959
72620,5.655,6.531,0.365,-1.0,-2.285,-1.925
73621,5.635,6.508,0.37,-1.0,-2.257,-1.892
74622,5.618,6.485,0.375,-1.0,-2.237,-1.867
75622,5.598,6.463,0.38,-1.0,-2.199,-1.824
76623,5.577,6.441,0.385,-1.0,-2.179,-1.799
77623,5.561,6.419,0.39,-1.0,-2.151,-1.766
78624,5.541,6.397,0.395,-1.0,-2.122,-1.732
79624,5.523,6.376,0.4,-1.0,-2.084,-1.689
80625,5.506,6.355,0.405,-1.0,-2.065,-1.665
81626,5.49,6.334,0.41,-1.0,-2.027,-1.622
82626,5.472,6.314,0.415,-1.0,-1.998,-1.588
83627,5.457,6.294,0.42,-1.0,-1.969,-1.554
84627,5.439,6.274,0.425,-1.0,-1.95,-1.53
85628,5.423,6.254,0.43,-1.0,-1.912,-1.487
86628,5.41,6.235,0.435,-1.0,-1.883,-1.453
87629,5.394,6.216,0.44,-1.0,-1.855,-1.42
88630,5.377,6.197,0.445,-1.0,-1.826,-1.386
89630,5.365,6.179,0.45,-1.0,-1.798,-1.353
90631,5.352,6.161,0.455,-1.0,-1.77,-1.32
91631,5.34,6.143,0.46,-1.0,-1.742,-1.287
92632,5.325,6.125,0.465,-1.0,-1.713,-1.253
93632,5.311,6.108,0.47,-1.0,-1.684,-1.219
94633,5.3,6.091,0.475,-1.0,-1.664,-1.194
95634,5.29,6.074,0.48,-1.0,-1.627,-1.152
96634,5.28,6.058,0.485,-1.0,-1.597,-1.117
97635,5.27,6.042,0.49,-1.0,-1.579,-1.094
98635,5.26,6.026,0.495,-1.0,-1.55,-1.06
99636,5.247,6.01,0.5,-1.0,-1.521,-1.026
100637,5.236,5.995,0.505,-1.0,-1.492,-0.992
101637,5.226,5.98,0.51,-1.0,-1.456,-0.951
102638,5.215,5.965,0.515,-1.0,-1.428,-0.918
103638,5.205,5.951,0.52,-1.0,-1.399,-0.884
104639,5.197,5.937,0.525,-1.0,-1.371,-0.851
105639,5.188,5.923,0.53,-1.0,-1.342,-0.817
106640,5.177,5.909,0.535,-1.0,-1.313,-0.783
107641,5.17,5.896,0.54,-1.0,-1.293,-0.758
108641,5.163,5.883,0.545,-1.0,-1.256,-0.716
109642,5.155,5.87,0.55,-1.0,-1.228,-0.683
110642,5.148,5.858,0.555,-1.0,-1.198,-0.648
111643,5.141,5.846,0.56,-1.0,-1.17,-0.615
112644,5.133,5.834,0.565,-1.0,-1.15,-0.59
113644,5.127,5.822,0.57,-1.0,-1.121,-0.556
114645,5.12,5.81,0.575,-1.0,-1.1,-0.53
115646,5.112,5.799,0.58,-1.0,-1.051,-0.476
116646,5.108,5.788,0.585,-1.0,-1.023,-0.443
117647,5.104,5.778,0.59,-1.0,-0.994,-0.409
118647,5.099,5.768,0.595,-1.0,-0.966,-0.376
119648,5.095,5.758,0.6,-1.0,-0.938,-0.343
120648,5.093,5.748,0.605,-1.0,-0.906,-0.306
121649,5.09,5.739,0.61,-1.0,-0.872,-0.267
122650,5.088,5.73,0.615,-1.0,-0.859,-0.249
123650,5.087,5.721,0.62,-1.0,-0.839,-0.224
124651,5.083,5.713,0.625,-1.0,-0.791,-0.171
125651,5.083,5.705,0.63,-1.0,-0.763,-0.138
126652,5.083,5.697,0.635,-1.0,-0.736,-0.106
127652,5.082,5.689,0.64,-1.0,-0.712,-0.077
128653,5.082,5.682,0.645,-1.0,-0.686,-0.046
129654,5.083,5.675,0.65,-1.0,-0.649,-0.004
130654,5.084,5.668,0.655,-1.0,-0.629,0.02
131655,5.087,5.662,0.66,-1.0,-0.584,0.07
132655,5.085,5.656,0.665,-1.0,-0.571,0.088
133656,5.085,5.65,0.67,-1.0,-0.533,0.131
134656,5.087,5.644,0.675,-1.0,-0.504,0.165
135657,5.087,5.639,0.68,-1.0,-0.482,0.192
136658,5.087,5.634,0.685,-1.0,-0.445,0.234
